No,Web Site,Website IP Address,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,Web Hosting City,World Site Popular Rating,Category (Coma seperated),Tags,Contact Email (Coma seperated),SIte Name,Meta Desctiption of Site,Website Screenshot URL (1280X888)
32,eightvape.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 33,950","Food & Drink, Other,",,,,,
33,bombas.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 35,002","Womens Clothing, Mens Clothing,",,,,,
34,maniology.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 36,178","Beauty,",,,,,
35,bohme.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 36,654","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
36,bajaao.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 36,738","Music & Instruments,",,,,,
37,juicyjsvapes.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 36,749",,,,,,
38,dezzn.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 38,268","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
39,breazy.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 38,592","Other,",,,,,
40,mondotees.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 38,678","Music & Instruments, Gaming, Art,",,,,,
41,nobis.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 38,712","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
42,lovepopcards.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 41,066","Art,",,,,,
43,killstar.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 42,064","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
44,onlyny.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 42,146","Womens Clothing, Mens Clothing,",,,,,
45,magiccart.co.in,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 43,261","Home & Garden,",,,,,
46,fearofgod.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 43,276","Other,",,,,,
47,sokoglam.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 44,013","Beauty,",,,,,
48,mediamarkt.pt,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 44,283",,,,,,
49,behearty.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 44,455","Jewellery,",,,,,
50,popsockets.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 44,777","Phones & Accessories,",,,,,
51,freediamondpainting.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 45,282","Art, Jewellery,",,,,,
52,huel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 45,956","Food & Drink,",,,,,
53,metathreads.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 46,499","Gaming,",,,,,
54,outdoorvoices.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 46,660","Pet Supplies,",,,,,
55,enchroma.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 46,668","Sunglasses,",,,,,
56,topodesigns.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 46,880","Other,",,,,,
57,misthub.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 46,978","Other,",,,,,
58,socialstatuspgh.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 47,376","Womens Clothing, Mens Clothing, Watches, Jewellery, Shoes,",,,,,
59,oadnewyork.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 47,413","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
60,ubtrobot.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 47,832","Other,",,,,,
61,noahny.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,076","Mens Clothing, Watches,",,,,,
62,untuckit.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,449","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
63,helix.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,683","Other,",,,,,
64,ledger.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 49,914","Technology & Accessories,",,,,,
65,turntablelab.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,244","Music & Instruments,",,,,,
66,dailysteals.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 51,934","Phones & Accessories,",,,,,
67,gouletpens.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,257","Womens Clothing, Mens Clothing, Watches, Jewellery, Shoes,",,,,,
68,fanjoy.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,692","Other,",,,,,
69,vapes.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,760","Other,",,,,,
70,mirascreen.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 52,970","Technology & Accessories,",,,,,
71,riptapparel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,274",,,,,,
72,miansai.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,557","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
73,toddsnyder.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,665","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
74,girlfriend.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 53,983","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
75,atmosfx.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 54,341","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
76,shopcaseyneistat.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,069","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
77,superkingmarkets.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,169","Food & Drink,",,,,,
78,thefashiongiftshop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,235","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
79,stampd.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 55,942","Womens Clothing, Mens Clothing, Watches, Jewellery, Shoes,",,,,,
80,a-ma-maniere.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,065","Shoes,",,,,,
81,secretlab.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,371","Other,",,,,,
82,rains.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,421","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
83,seikousa.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 56,752","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
84,futurelab.tw,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,166","Womens Clothing, Watches, Jewellery, Shoes,",,,,,
85,dailydropdeals.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,534",,,,,,
86,vitalproteins.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 57,613","Food & Drink,",,,,,
87,thebrick.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 58,722",,,,,,
88,cookwoods.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,716",,,,,,
89,properwhiskey.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,772",,,,,,
90,crownandcaliber.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 59,893","Watches,",,,,,
91,deadstock.ca,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,070",,,,,,
92,emojiisland.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,079",,,,,,
93,seiyajapan.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,362","Watches,",,,,,
94,morphe.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,488",,,,,,
95,kbdfans.cn,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,515",,,,,,
96,came-tv.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,591",,,,,,
97,valfre.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 60,899","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories,",,,,,
98,qualtry.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 61,074",,,,,,
99,skin18.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 62,133",,,,,,
100,omaxhealth.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 62,763",,,,,,
101,smokea.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,168",,,,,,
102,vraiandoro.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,221","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories,",,,,,
103,placementseason.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,516","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
104,nakedwolfe.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,611","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
105,teradek.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,800",,,,,,
106,teamninja.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 63,806",,,,,,
107,pinhealth.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 64,873","Food & Drink,",,,,,
108,thehyv.shop,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,041",,,,,,
109,farm.bot,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,211",,,,,,
110,outofthesandbox.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,335",,,,,,
111,limitedrungames.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,525","Gaming,",,,,,
112,urbanarmorgear.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,633",,,,,,
113,urban-planet.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 65,756","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
114,mocas.us,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 66,328","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
115,selshore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 66,340",,,,,,
116,rhinoshield.io,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 66,416",,,,,,
117,getkeysmart.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 66,540",,,,,,
118,dsrcv.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 67,266",,,,,,
119,primitiveskate.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 67,995",,,,,,
120,manlybands.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 68,229","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
121,odylynetheceremony.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 68,651","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
122,rmattress.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 68,835",,,,,,
123,wildthings-collectables.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 69,425",,,,,,
124,mychoicesoftware.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 69,598",,,,,,
125,vincerowatches.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 69,663",,,,,,
126,thehundreds.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 69,699",,,,,,
127,radioshack.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 69,887",,,,,,
128,unrealfur.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 70,126",,,,,,
129,brightfield.jp,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 71,172",,,,,,
130,emilyhsudesigns.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 71,178","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
131,idealce.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 71,366",,,,,,
132,maperformance.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 71,604",,,,,,
133,madisonstyle.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 71,650","Jewellery, Shoes,",,,,,
134,smartocity.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 72,111",,,,,,
135,alyxstudio.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 72,336",,,,,,
136,extrabutterny.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 72,342",,,,,,
137,forcecop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 73,823",,,,,,
138,jamesstores.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 74,494","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
139,thegldshop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 74,888","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
140,usagundamstore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 75,758",,,,,,
141,eliquid.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 76,060",,,,,,
142,poochselfie.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 76,082","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
143,treehut.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 76,689","Watches,",,,,,
144,novanym.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 77,590",,,,,,
145,iiizst.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 78,055",,,,,,
146,kakarot.us,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 78,101",,,,,,
147,cr7.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 78,688","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
148,adultsextoysdirect.co.uk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 79,065","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
149,cntrbndshop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 79,142","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
150,kettleandfire.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 79,403",,,,,,
151,ecigar4jp.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 79,618",,,,,,
152,utopia.pk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 79,822",,,,,,
153,ine.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 80,196","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
154,worldwidecyclery.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 80,304","Watches,",,,,,
155,optcorp.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 80,326",,,,,,
156,cotopaxi.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 80,332",,,,,,
157,fuckingawesomestore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 80,703",,,,,,
158,gpen.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 81,147",,,,,,
159,neer.ro,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 81,239",,,,,,
160,planetofthevapes.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 81,406",,,,,,
161,svsound.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 81,524","Music & Instruments, Gaming, Art,",,,,,
162,angelsshareglass.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 81,980",,,,,,
163,calpaktravel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 82,309",,,,,,
164,mountunestore.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 82,957",,,,,,
165,reginalovehair.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 83,047",,,,,,
166,auratenewyork.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 83,340",,,,,,
167,exportleftovers.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 83,615",,,,,,
168,collins.co.uk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 83,796",,,,,,
169,themusiczoo.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 83,844","Music & Instruments,",,,,,
170,universalstandard.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 84,426",,,,,,
171,truthnutra.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 84,698",,,,,,
172,jwpei.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 84,726",,,,,,
173,minishopmadrid.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 84,826",,,,,,
174,retrosupply.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 84,864",,,,,,
175,sourcevapes.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 85,885","Other,",,,,,
176,dpto.la,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 85,927","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
177,flightlessrecords.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 85,944",,,,,,
178,kazsknifeonline.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 86,123",,,,,,
179,parisawang.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 86,195","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
180,freshpair.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 87,173","Womens Clothing, Watches, Jewellery, Shoes, Phones & Accessories, Mens Clothing,",,,,,
181,blackwellswines.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 87,527",,,,,,
182,sarrieri.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 87,977",,,,,,
183,regardscoupables.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 88,041",,,,,,
184,higherprimate.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 88,198",,,,,,
185,tateandyoko.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 88,601",,,,,,
186,undergroundshirts.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 88,629","Womens Clothing, Mens Clothing, Watches, Jewellery,",,,,,
187,insomniac.store,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 88,933",,,,,,
188,aaliyaholivia.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,054",,,,,,
189,blackgirldreamhair.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,133","Beauty,",,,,,
190,circlecolour.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,203",,,,,,
191,joutsen.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,515",,,,,,
192,myohmy.nl,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,664",,,,,,
193,opeyawig.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,707",,,,,,
194,sunberhair.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 89,851","Beauty,",,,,,
195,elizabeth-charles.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,283",,,,,,
196,sherpaadventuregear.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,530",,,,,,
197,featuresneakerboutique.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,550",,,,,,
198,thrivecausemetics.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,665",,,,,,
199,quayaustralia.co.uk,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,877",,,,,,
200,cemarose.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 90,959",,,,,,
201,mymindseye.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 91,111",,,,,,
202,tommyjohn.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 91,862",,,,,,
203,buypeel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,056",,,,,,
204,gaiam.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,144",,,,,,
205,sakara.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,166",,,,,,
206,rhinoshield.tw,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,312",,,,,,
207,darntough.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,326",,,,,,
208,homage.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,702",,,,,,
209,makeupgeek.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 92,941","Beauty,",,,,,
210,rodengray.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,118",,,,,,
211,backstagerockshop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,270","Womens Clothing, Mens Clothing, Watches, Jewellery,",,,,,
212,hypop.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,311",,,,,,
213,knockaround.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,345",,,,,,
214,impkeys.co,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,483",,,,,,
215,adamcarolla.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 93,945","Other,",,,,,
216,mysteriouspackage.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,167",,,,,,
217,tigermist.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,180",,,,,,
218,shinesty.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,342",,,,,,
219,sorujewellery.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,458","Jewellery,",,,,,
220,arcadeshock.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,767",,,,,,
221,mmawarehouse.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 94,829",,,,,,
222,cariuma.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 95,169","Other,",,,,,
223,isocialfame.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 95,359",,,,,,
224,teeturtle.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 95,700",,,,,,
225,totalleecase.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 95,802",,,,,,
226,missionworkshop.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,159","Womens Clothing, Mens Clothing, Watches, Jewellery,",,,,,
227,smokecartel.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,255","Other,",,,,,
228,spelldesigns.com.au,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,357",,,,,,
229,ejuices.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,459",,,,,,
230,lacolombe.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,478",,,,,,
231,fringesport.com,23.227.38.32,"Shopify, Inc",Canada,Ottawa,"# 96,931",,,,,,
